source,link,Status,Category,SourceID,Severity,Description,,,,,,
blocklist.de,https://www.blocklist.de/downloads/,200 – OK,--,multiple,--,,,,,,,
,https://raw.githubusercontent.com/vokins/yhosts/master/hosts.txt,200 – OK,?,,,,,,,,,
CESNET,https://nerd.cesnet.cz/,200 – OK,https://nerd.cesnet.cz/,???,,,,,,,,
2o7.Net,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts,200 – OK,2o7,,,,,,,,,
,http://www.shallalist.de/Downloads/shallalist.tar.gz,200 – OK,"ad, tracker",,,,,,,,,
yoyo,https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&mimetype=plaintext&useip=0.0.0.0,200 – OK,ads,,,,,,,,,
UncheckyAds,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/UncheckyAds/hosts,200 – OK,ads,,,,,,,,,
,http://hosts-file.net/ad_servers.txt,301 – Moved Permanently,ads,,,ads,,,,,,
,http://hosts-file.net/mmt.txt,301 – Moved Permanently,ads,,,misleading,marketing,(e.g.,fake,Flash,update,adverts)
,https://raw.githubusercontent.com/Dawsey21/Lists/master/adblock-list.txt,200 – OK,ads,,,,,,,,,
,http://pgl.yoyo.org/as/serverlist.php?hostformat=hosts,302 – Found,ads,,,,,,,,,
,https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/AdAway/adaway.github.io/master/hosts.txt,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/bkrcrc/turk-adlist/master/hosts,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/Yhonay/antipopads/master/hosts,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/polish-pihole-filters/hostfile.txt,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/StreamingAds/hosts,404 – Not Found,ads,,,,,,,,,
,https://raw.githubusercontent.com/azet12/KADhosts/master/KADhosts.txt,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/UncheckyAds/hosts,200 – OK,ads,,,,,,,,,
,https://zeustracker.abuse.ch/blocklist.php?download=domainblocklist,301 – Moved Permanently,ads,,,,,,,,,
,https://raw.githubusercontent.com/hoshsadiq/adblock-nocoin-list/master/hosts.txt,200 – OK,ads,,,,,,,,,
,https://raw.githubusercontent.com/lightswitch05/hosts/master/ads-and-tracking-extended.txt,404 – Not Found,"ads, tracking",,,,,,,,,
,https://gitlab.com/ZeroDot1/CoinBlockerLists/raw/master/list_browser.txt,200 – OK,ads?,,,,,,,,,
CoinBlocker,https://raw.githubusercontent.com/mitchellkrogza/Badd-Boyz-Hosts/master/hosts,200 – OK,cryptomining,,,,,,,,,
,https://data.netlab.360.com/feeds/dga/dircrypt.txt,200 – OK,"dga, c&c",,,,,,,,,
,https://data.netlab.360.com/feeds/dga/fobber.txt,200 – OK,"dga, c&c",,,,,,,,,
,https://data.netlab.360.com/feeds/dga/ccleaner.txt,200 – OK,"dga, c&c",,,,,,,,,
,https://osint.bambenekconsulting.com/feeds/c2-dommasterlist-high.txt,403 – Forbidden,"dga, c&c",,,,,,,,,
,http://hosts-file.net/exp.txt,301 – Moved Permanently,exploit,,,,,,,,,
Malware,https://www.malwaredomainlist.com/hostslist/hosts.txt,200 – OK,List,https://www.malwaredomainlist.com/hostslist/hosts.txt,malware,,,,,,,
,https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,200 – OK,malware,,1,,,,,,,
,https://s3.amazonaws.com/lists.disconnect.me/simple_malware.txt,200 – OK,malware,,,,,,,,,
,,200 – OK,malware,,,,,,,,,
,,503 – Temporary Unavailable,malware,,,,,,,,,
,https://ransomwaretracker.abuse.ch/downloads/RW_DOMBL.txt,301 – Moved Permanently,malware,,,,,,,,,
,https://raw.githubusercontent.com/mitchellkrogza/The-Big-List-of-Hacked-Malware-Web-Sites/master/.dev-tools/output/domains/ACTIVE/list,200 – OK,malware,,,,,,,,,
,https://malc0de.com/bl/BOOT,200 – OK,malware,,,,,,,,,
,http://security-research.dyndns.org/pub/malware-feeds/ponmocup-infected-domains-shadowserver.csv,200 – OK,malware,,,,,,,,,
StevenBlack,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/StevenBlack/hosts,200 – OK,"malware, ads, porn, spam... everything",,,,,,,,,
MVPS,http://winhelp2002.mvps.org/hosts.txt,301 – Moved Permanently,misc,,,,,,,,,
KAD,https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/polish-pihole-filters/hostfile.txt,200 – OK,Polish,https://raw.githubusercontent.com/azet12/KADhosts/master/KADhosts.txt,misc,,,,,,,
,https://dsi.ut-capitole.fr/blacklists/download/publicite.tar.gz,200 – OK,publicate?,,,,,,,,,
FadeMind,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Risk/hosts,200 – OK,Risk,,,,,,,,,
,https://raw.githubusercontent.com/piwik/referrer-spam-blacklist/master/spammers.txt,200 – OK,spam,,,,,,,,,
BadHosts,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts,200 – OK,spam?,,,,,,,,,
,https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt,200 – OK,spy,,,,,,,,,
,https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt,200 – OK,spyware,,,,,,,,,
BaddBoyzHosts,https://raw.githubusercontent.com/mitchellkrogza/Badd-Boyz-Hosts/master/hosts,200 – OK,"spyware, adware, malware, click-jacking and porn",,,,,,,,,
someonewhocares,https://someonewhocares.org/hosts/hosts,200 – OK,"spyware, malware, ads, ",,,,,,,,,
"Alexa Domains Top 1001-100,000 (caution: popular sites may be malicious)",,,top,,-0.9,,,,,,,
Majestic,1M,,based,on,links,https://majestic.com/reports/majestic-million,top,,-0.9,,,
"Cisco Umbrella is somehow different, but there are also subdomains, we might miss:",,,,top,,-0.9,,,,,,
Top-Level,domains,,http://s3-us-west-1.amazonaws.com/umbrella-static/top-1m-TLD.csv.zip,top,,-0.9,,,,,,
Greycortex.com,,,whitelist,,-1,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
abuse.ch,https://spyeyetracker.abuse.ch/blocklist.php?download=ipblocklist,301 – Moved Permanently,https://spyeyetracker.abuse.ch/blocklist.php?download=ipblocklist,,1,,,,,,,
abuse.ch,https://palevotracker.abuse.ch/blocklists.php?download=ipblocklist,301 – Moved Permanently,C&C,https://palevotracker.abuse.ch/blocklists.php?download=ipblocklist,,2,,,,,,
openbl.org,http://www.openbl.org/lists/base_30days.txt,403 – Forbidden,,3,,,,,,,,
Spamhaus,DROP,200 – OK,http://www.spamhaus.org/drop/drop.txt,,4,,,,,,,
abuse.ch,ZeuS,301 – Moved Permanently,https://zeustracker.abuse.ch/blocklist.php?download=ipblocklist,,,,,,,,,
,,,,,,,,,,,,
joewein,https://www.joewein.net/dl/bl/dom-bl-base.txt,200 – OK,,,,,,,,,,
joewein,https://www.joewein.net/dl/bl/dom-bl.txt,200 – OK,,,,,,,,,,
ETI,,,,,,,,,,,,
,,,,,,,,,,,,
From,Sources,,https://github.com/notracking/hosts-blocklists,,,,,,,,,
,http://winhelp2002.mvps.org/hosts.txt,301 – Moved Permanently,,,,,,,,,,
,https://www.dshield.org/feeds/suspiciousdomains_Medium.txt,200 – OK,,,,,,,,,,
,https://ssl.bblck.me/blacklists/hosts-file.txt,Connection Error,,,,,,,,,,
,https://v.firebog.net/hosts/static/w3kbl.txt,200 – OK,,,,,,,,,,
,https://raw.githubusercontent.com/tyzbit/hosts/master/data/tyzbit/hosts,200 – OK,,,,,,,,,,
,http://www.urlvir.com/export-hosts/,301 – Moved Permanently,,,1,Active,Malicious,Hosts,,,,
,em_th,,,,,,,,,,,
,mal_doms,,,,,,,,,,,
